POLISSA_SUBM;DVER_POLISSA_SUBM;TIP_SUBM_SERV;SIT_SUBM_SERV;DATA_CTE_SUBM_SERV;DATA_ALT_SUBM_SERV;DATA_RES_SUBM_SERV;IMP_FIANSA;SIT_FIANSA;DATA_ULTIMA_FACT;QL_IDIOMA;ID_PAGA_IVA;US_AIGUA_SUBM;NOMB_HABIT_SUBM;TIP_HABIT_SUBM;TIP_TAXA_TRR;POLISSA_RAMAL;PIS_PORTA_DESTI;DNI_NIF_CLIENT;NUM_ENTITAT_COBRA;NUM_AGENCIA_APART;NUM_COMPTE_DEPEND;NOM_TITULAR_COMPTE;ID_QUOTA_SOCIAL;ID_TARIFA_SOCIAL;IND_SERVEI_SOCIAL;IND_POB_ENERG;NOM_COMERCIAL;TIP_FACT_ENV;CODI_PAIS;NUM_COMPTE_IBAN;IND_OKUPA
S000000011;1;D;A;2025-12-12;2025-12-12;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000002;2A;00000011A;2100;1;11;CLIENTE 011;N;N;N;N;;FP;ES;ES76000000000000000000000000000011;N
S000000012;1;D;A;2020-01-13;2020-01-13;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000002;2B;00000012A;2100;1;12;CLIENTE 012;N;N;N;N;;FP;ES;ES76000000000000000000000000000012;N
S000000013;1;D;A;2021-02-14;2021-02-14;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000002;3A;00000013A;2100;1;13;CLIENTE 013;N;N;N;N;;FP;ES;ES76000000000000000000000000000013;N
S000000014;1;D;A;2022-03-15;2022-03-15;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000002;3B;00000014A;2100;1;14;CLIENTE 014;N;N;N;N;;FP;ES;ES76000000000000000000000000000014;N
S000000015;1;D;A;2023-04-16;2023-04-16;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000003;1A;00000015A;2100;1;15;CLIENTE 015;N;N;N;N;;FP;ES;ES76000000000000000000000000000015;N
S000000016;1;D;A;2024-05-17;2024-05-17;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000003;1B;00000016A;2100;1;16;CLIENTE 016;N;N;N;N;;FP;ES;ES76000000000000000000000000000016;N
S000000017;1;D;A;2025-06-18;2025-06-18;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000003;2A;00000017A;2100;1;17;CLIENTE 017;N;N;N;N;;FP;ES;ES76000000000000000000000000000017;N
S000000018;1;D;A;2020-07-19;2020-07-19;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000003;2B;00000018A;2100;1;18;CLIENTE 018;N;N;N;N;;FP;ES;ES76000000000000000000000000000018;N
S000000019;1;D;A;2021-08-20;2021-08-20;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000003;3A;00000019A;2100;1;19;CLIENTE 019;N;N;N;N;;FP;ES;ES76000000000000000000000000000019;N
S000000020;1;D;A;2022-09-21;2022-09-21;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000003;3B;00000020A;2100;1;20;CLIENTE 020;N;N;N;N;;FP;ES;ES76000000000000000000000000000020;N
S000000021;1;D;A;2023-10-22;2023-10-22;2099-12-31;60;D;2026-07-01;C;S;1;5;A;D;R000000003;4A;00000021A;2100;1;21;CLIENTE 021;S;S;S;S;;FP;ES;ES76000000000000000000000000000021;N
S000000022;1;D;A;2024-11-23;2024-11-23;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000004;1A;00000022A;2100;1;22;CLIENTE 022;N;N;N;N;;FP;ES;ES76000000000000000000000000000022;N
S000000023;1;D;A;2025-12-24;2025-12-24;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000004;1B;00000023A;2100;1;23;CLIENTE 023;N;N;N;N;;FP;ES;ES76000000000000000000000000000023;N
S000000024;1;D;A;2020-01-25;2020-01-25;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000004;2A;00000024A;2100;1;24;CLIENTE 024;N;N;N;N;;FP;ES;ES76000000000000000000000000000024;N
S000000025;1;D;A;2021-02-26;2021-02-26;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000004;2B;00000025A;2100;1;25;CLIENTE 025;N;N;N;N;;FP;ES;ES76000000000000000000000000000025;N
S000000026;1;D;A;2022-03-27;2022-03-27;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000004;3A;00000026A;2100;1;26;CLIENTE 026;N;N;N;N;;FP;ES;ES76000000000000000000000000000026;N
S000000027;1;D;A;2023-04-28;2023-04-28;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000005;1A;00000027A;2100;1;27;CLIENTE 027;N;N;N;N;;FP;ES;ES76000000000000000000000000000027;N
S000000028;1;D;A;2024-05-01;2024-05-01;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000005;1B;00000028A;2100;1;28;CLIENTE 028;N;N;N;N;;FP;ES;ES76000000000000000000000000000028;N
S000000029;1;D;A;2025-06-02;2025-06-02;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000005;2A;00000029A;2100;1;29;CLIENTE 029;N;N;N;N;;FP;ES;ES76000000000000000000000000000029;N
S000000030;1;D;A;2020-07-03;2020-07-03;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000005;2B;00000030A;2100;1;30;CLIENTE 030;N;N;N;N;;FP;ES;ES76000000000000000000000000000030;N
S000000031;1;D;A;2021-08-04;2021-08-04;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000006;1A;00000031A;2100;1;31;CLIENTE 031;N;N;N;N;;FP;ES;ES76000000000000000000000000000031;N
S000000032;1;D;A;2022-09-05;2022-09-05;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000006;1B;00000032A;2100;1;32;CLIENTE 032;N;N;N;N;;FP;ES;ES76000000000000000000000000000032;N
S000000033;1;D;A;2023-10-06;2023-10-06;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000006;2A;00000033A;2100;1;33;CLIENTE 033;N;N;N;N;;FP;ES;ES76000000000000000000000000000033;N
S000000034;1;D;A;2024-11-07;2024-11-07;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000006;2B;00000034A;2100;1;34;CLIENTE 034;S;S;S;S;;FP;ES;ES76000000000000000000000000000034;N
S000000035;1;D;A;2025-12-08;2025-12-08;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000007;1A;00000035A;2100;1;35;CLIENTE 035;N;N;N;N;;FP;ES;ES76000000000000000000000000000035;N
S000000036;1;D;A;2020-01-09;2020-01-09;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000007;1B;00000036A;2100;1;36;CLIENTE 036;N;N;N;N;;FP;ES;ES76000000000000000000000000000036;N
S000000037;1;D;A;2021-02-10;2021-02-10;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000007;2A;00000037A;2100;1;37;CLIENTE 037;N;N;N;N;;FP;ES;ES76000000000000000000000000000037;N
S000000038;1;D;A;2022-03-11;2022-03-11;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000007;2B;00000038A;2100;1;38;CLIENTE 038;N;N;N;N;;FP;ES;ES76000000000000000000000000000038;N
S000000039;1;D;A;2023-04-12;2023-04-12;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000007;3A;00000039A;2100;1;39;CLIENTE 039;N;N;N;N;;FP;ES;ES76000000000000000000000000000039;N
S000000040;1;D;A;2024-05-13;2024-05-13;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000008;1A;00000040A;2100;1;40;CLIENTE 040;N;N;N;N;;FP;ES;ES76000000000000000000000000000040;N
S000000041;1;D;A;2025-06-14;2025-06-14;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000008;1B;00000041A;2100;1;41;CLIENTE 041;N;N;N;N;;FP;ES;ES76000000000000000000000000000041;N
S000000042;1;D;A;2020-07-15;2020-07-15;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000008;2A;00000042A;2100;1;42;CLIENTE 042;N;N;N;N;;FP;ES;ES76000000000000000000000000000042;N
S000000043;1;D;A;2021-08-16;2021-08-16;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000008;2B;00000043A;2100;1;43;CLIENTE 043;N;N;N;N;;FP;ES;ES76000000000000000000000000000043;N
S000000044;1;D;A;2022-09-17;2022-09-17;2099-12-31;60;D;2026-07-01;C;S;1;5;A;D;R000000008;3A;00000044A;2100;1;44;CLIENTE 044;N;N;N;N;;FP;ES;ES76000000000000000000000000000044;N
S000000045;1;D;A;2023-10-18;2023-10-18;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000009;1A;00000045A;2100;1;45;CLIENTE 045;N;N;N;N;;FP;ES;ES76000000000000000000000000000045;N
S000000046;1;D;A;2024-11-19;2024-11-19;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000009;1B;00000046A;2100;1;46;CLIENTE 046;N;N;N;N;;FP;ES;ES76000000000000000000000000000046;N
S000000047;1;D;A;2025-12-20;2025-12-20;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000009;2A;00000047A;2100;1;47;CLIENTE 047;N;N;N;N;;FP;ES;ES76000000000000000000000000000047;N
S000000048;1;D;A;2020-01-21;2020-01-21;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000009;2B;00000048A;2100;1;48;CLIENTE 048;N;N;N;N;;FP;ES;ES76000000000000000000000000000048;N
S000000049;1;D;A;2021-02-22;2021-02-22;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000010;1A;00000049A;2100;1;49;CLIENTE 049;N;N;N;N;;FP;ES;ES76000000000000000000000000000049;N
S000000050;1;D;A;2022-03-23;2022-03-23;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000010;1B;00000050A;2100;1;50;CLIENTE 050;N;N;N;N;;FP;ES;ES76000000000000000000000000000050;N
S000000051;1;D;A;2023-04-24;2023-04-24;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000010;2A;00000051A;2100;1;51;CLIENTE 051;N;N;N;N;;FP;ES;ES76000000000000000000000000000051;N
S000000052;1;D;A;2024-05-25;2024-05-25;2099-12-31;60;D;2026-07-01;C;S;1;5;A;D;R000000010;2B;00000052A;2100;1;52;CLIENTE 052;N;N;N;N;;FP;ES;ES76000000000000000000000000000052;N
S000000053;1;D;A;2025-06-26;2025-06-26;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000010;3A;00000053A;2100;1;53;CLIENTE 053;N;N;N;N;;FP;ES;ES76000000000000000000000000000053;N
S000000054;1;D;A;2020-07-27;2020-07-27;2099-12-31;60;D;2026-07-01;C;S;1;1;A;D;R000000010;3B;00000054A;2100;1;54;CLIENTE 054;N;N;N;N;;FP;ES;ES76000000000000000000000000000054;N
S000000055;1;D;A;2021-08-28;2021-08-28;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000011;1A;00000055A;2100;1;55;CLIENTE 055;N;N;N;N;;FP;ES;ES76000000000000000000000000000055;N
S000000056;1;D;A;2022-09-01;2022-09-01;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000011;1B;00000056A;2100;1;56;CLIENTE 056;N;N;N;N;;FP;ES;ES76000000000000000000000000000056;N
S000000057;1;D;A;2023-10-02;2023-10-02;2099-12-31;60;D;2026-07-01;C;S;1;5;A;D;R000000011;2A;00000057A;2100;1;57;CLIENTE 057;N;N;N;N;;FP;ES;ES76000000000000000000000000000057;N
S000000058;1;D;A;2024-11-03;2024-11-03;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000011;2B;00000058A;2100;1;58;CLIENTE 058;S;S;S;S;;FP;ES;ES76000000000000000000000000000058;N
S000000059;1;D;A;2025-12-04;2025-12-04;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000012;1A;00000059A;2100;1;59;CLIENTE 059;N;N;N;N;;FP;ES;ES76000000000000000000000000000059;N
S000000060;1;D;A;2020-01-05;2020-01-05;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000012;1B;00000060A;2100;1;60;CLIENTE 060;N;N;N;N;;FP;ES;ES76000000000000000000000000000060;N
S000000061;1;D;A;2021-02-06;2021-02-06;2099-12-31;60;D;2026-07-01;C;S;1;5;A;D;R000000012;2A;00000061A;2100;1;61;CLIENTE 061;N;N;N;N;;FP;ES;ES76000000000000000000000000000061;N
S000000062;1;D;A;2022-03-07;2022-03-07;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000012;2B;00000062A;2100;1;62;CLIENTE 062;N;N;N;N;;FP;ES;ES76000000000000000000000000000062;N
S000000063;1;D;A;2023-04-08;2023-04-08;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000013;1A;00000063A;2100;1;63;CLIENTE 063;N;N;N;N;;FP;ES;ES76000000000000000000000000000063;N
S000000064;1;D;A;2024-05-09;2024-05-09;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000013;1B;00000064A;2100;1;64;CLIENTE 064;N;N;N;N;;FP;ES;ES76000000000000000000000000000064;N
S000000065;1;D;A;2025-06-10;2025-06-10;2099-12-31;60;D;2026-07-01;C;S;1;6;A;D;R000000013;2A;00000065A;2100;1;65;CLIENTE 065;N;N;N;N;;FP;ES;ES76000000000000000000000000000065;N
S000000066;1;D;A;2020-07-11;2020-07-11;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000013;2B;00000066A;2100;1;66;CLIENTE 066;N;N;N;N;;FP;ES;ES76000000000000000000000000000066;N
S000000067;1;D;A;2021-08-12;2021-08-12;2099-12-31;60;D;2026-07-01;C;S;1;2;A;D;R000000013;3A;00000067A;2100;1;67;CLIENTE 067;N;N;N;N;;FP;ES;ES76000000000000000000000000000067;N
S000000068;1;D;A;2022-09-13;2022-09-13;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000014;1A;00000068A;2100;1;68;CLIENTE 068;N;N;N;N;;FP;ES;ES76000000000000000000000000000068;N
S000000069;1;D;A;2023-10-14;2023-10-14;2099-12-31;60;D;2026-07-01;C;S;1;3;A;D;R000000014;1B;00000069A;2100;1;69;CLIENTE 069;S;S;S;S;;FP;ES;ES76000000000000000000000000000069;N
S000000070;1;D;A;2024-11-15;2024-11-15;2099-12-31;60;D;2026-07-01;C;S;1;4;A;D;R000000014;2A;00000070A;2100;1;70;CLIENTE 070;N;N;N;N;;FP;ES;ES76000000000000000000000000000070;N
S000000071;1;I;A;2025-12-16;2025-12-16;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000014;2B;00000071A;2100;1;71;CLIENTE 071;N;N;N;N;EMPRESA 071;FP;ES;ES76000000000000000000000000000071;N
S000000072;1;I;A;2020-01-17;2020-01-17;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000015;1A;00000072A;2100;1;72;CLIENTE 072;N;N;N;N;EMPRESA 072;FP;ES;ES76000000000000000000000000000072;N
S000000073;1;I;A;2021-02-18;2021-02-18;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000015;1B;00000073A;2100;1;73;CLIENTE 073;N;N;N;N;EMPRESA 073;FP;ES;ES76000000000000000000000000000073;N
S000000074;1;I;A;2022-03-19;2022-03-19;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000015;2A;00000074A;2100;1;74;CLIENTE 074;N;N;N;N;EMPRESA 074;FP;ES;ES76000000000000000000000000000074;N
S000000075;1;I;A;2023-04-20;2023-04-20;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000015;2B;00000075A;2100;1;75;CLIENTE 075;N;N;N;N;EMPRESA 075;FP;ES;ES76000000000000000000000000000075;N
S000000076;1;I;A;2024-05-21;2024-05-21;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000016;1A;00000076A;2100;1;76;CLIENTE 076;N;N;N;N;EMPRESA 076;FP;ES;ES76000000000000000000000000000076;N
S000000077;1;I;A;2025-06-22;2025-06-22;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000016;1B;00000077A;2100;1;77;CLIENTE 077;N;N;N;N;EMPRESA 077;FP;ES;ES76000000000000000000000000000077;N
S000000078;1;I;A;2020-07-23;2020-07-23;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000016;2A;00000078A;2100;1;78;CLIENTE 078;N;N;N;N;EMPRESA 078;FP;ES;ES76000000000000000000000000000078;N
S000000079;1;I;A;2021-08-24;2021-08-24;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000016;2B;00000079A;2100;1;79;CLIENTE 079;N;N;N;N;EMPRESA 079;FP;ES;ES76000000000000000000000000000079;N
S000000080;1;I;A;2022-09-25;2022-09-25;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000016;3A;00000080A;2100;1;80;CLIENTE 080;N;N;N;N;EMPRESA 080;FP;ES;ES76000000000000000000000000000080;N
S000000081;1;I;A;2023-10-26;2023-10-26;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000017;1A;00000081A;2100;1;81;CLIENTE 081;N;N;N;N;EMPRESA 081;FP;ES;ES76000000000000000000000000000081;N
S000000082;1;I;A;2024-11-27;2024-11-27;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000017;1B;00000082A;2100;1;82;CLIENTE 082;N;N;N;N;EMPRESA 082;FP;ES;ES76000000000000000000000000000082;N
S000000083;1;I;A;2025-12-28;2025-12-28;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000017;2A;00000083A;2100;1;83;CLIENTE 083;N;N;N;N;EMPRESA 083;FP;ES;ES76000000000000000000000000000083;N
S000000084;1;I;A;2020-01-01;2020-01-01;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000017;2B;00000084A;2100;1;84;CLIENTE 084;N;N;N;N;EMPRESA 084;FP;ES;ES76000000000000000000000000000084;N
S000000085;1;I;A;2021-02-02;2021-02-02;2099-12-31;100;D;2026-07-01;C;S;4;0;A;D;R000000017;3A;00000085A;2100;1;85;CLIENTE 085;N;N;N;N;EMPRESA 085;FP;ES;ES76000000000000000000000000000085;N
S000000086;1;I;B;2022-03-03;2022-03-03;2025-03-14;100;D;2026-07-01;C;S;4;0;A;D;R000000018;1A;00000086A;2100;1;86;CLIENTE 086;N;N;N;N;EMPRESA 086;FP;ES;ES76000000000000000000000000000086;N
S000000087;1;I;B;2023-04-04;2023-04-04;2025-04-17;100;D;2026-07-01;C;S;4;0;A;D;R000000018;1B;00000087A;2100;1;87;CLIENTE 087;N;N;N;N;EMPRESA 087;FP;ES;ES76000000000000000000000000000087;N
S000000088;1;I;B;2024-05-05;2024-05-05;2025-05-08;100;D;2026-07-01;C;S;4;0;A;D;R000000018;2A;00000088A;2100;1;88;CLIENTE 088;N;N;N;N;EMPRESA 088;FP;ES;ES76000000000000000000000000000088;N
S000000089;1;I;B;2025-06-06;2025-06-06;2025-06-26;100;D;2026-07-01;C;S;4;0;A;D;R000000018;2B;00000089A;2100;1;89;CLIENTE 089;N;N;N;N;EMPRESA 089;FP;ES;ES76000000000000000000000000000089;N
S000000090;1;I;B;2020-07-07;2020-07-07;2025-07-03;100;D;2026-07-01;C;S;4;0;A;D;R000000018;3A;00000090A;2100;1;90;CLIENTE 090;N;N;N;N;EMPRESA 090;FP;ES;ES76000000000000000000000000000090;N
S000000091;1;I;B;2021-08-08;2021-08-08;2025-08-19;100;D;2026-07-01;C;S;4;0;A;D;R000000019;1A;00000091A;2100;1;91;CLIENTE 091;N;N;N;N;EMPRESA 091;FP;ES;ES76000000000000000000000000000091;N
S000000092;1;I;B;2022-09-09;2022-09-09;2025-09-11;100;D;2026-07-01;C;S;4;0;A;D;R000000019;1B;00000092A;2100;1;92;CLIENTE 092;N;N;N;N;EMPRESA 092;FP;ES;ES76000000000000000000000000000092;N
S000000093;1;I;B;2023-10-10;2023-10-10;2025-10-22;100;D;2026-07-01;C;S;4;0;A;D;R000000019;2A;00000093A;2100;1;93;CLIENTE 093;N;N;N;N;EMPRESA 093;FP;ES;ES76000000000000000000000000000093;N
S000000094;1;I;B;2024-11-11;2024-11-11;2025-11-06;100;D;2026-07-01;C;S;4;0;A;D;R000000019;2B;00000094A;2100;1;94;CLIENTE 094;N;N;N;N;EMPRESA 094;FP;ES;ES76000000000000000000000000000094;N
S000000095;1;C;A;2025-12-12;2025-12-12;2099-12-31;60;D;2026-07-01;C;S;2;0;A;D;R000000019;3A;00000095A;2100;1;95;CLIENTE 095;N;N;N;N;EMPRESA 095;FP;ES;ES76000000000000000000000000000095;N
S000000096;1;C;A;2020-01-13;2020-01-13;2099-12-31;60;D;2026-07-01;C;S;2;0;A;D;R000000020;1A;00000096A;2100;1;96;CLIENTE 096;N;N;N;N;EMPRESA 096;FP;ES;ES76000000000000000000000000000096;N
S000000097;1;C;A;2021-02-14;2021-02-14;2099-12-31;60;D;2026-07-01;C;S;2;0;A;D;R000000020;1B;00000097A;2100;1;97;CLIENTE 097;N;N;N;N;EMPRESA 097;FP;ES;ES76000000000000000000000000000097;N
S000000098;1;C;B;2022-03-15;2022-03-15;2025-04-17;60;D;2026-07-01;C;S;2;0;A;D;R000000020;2A;00000098A;2100;1;98;CLIENTE 098;N;N;N;N;EMPRESA 098;FP;ES;ES76000000000000000000000000000098;N
S000000099;1;C;B;2023-04-16;2023-04-16;2024-11-08;60;D;2026-07-01;C;S;2;0;A;D;R000000020;2B;00000099A;2100;1;99;CLIENTE 099;N;N;N;N;EMPRESA 099;FP;ES;ES76000000000000000000000000000099;N
S000000100;1;C;A;2024-05-17;2024-05-17;2099-12-31;60;D;2026-07-01;C;S;2;0;A;D;R000000020;3A;00000100A;2100;1;100;CLIENTE 100;N;N;N;N;EMPRESA 100;FP;ES;ES76000000000000000000000000000100;N
